label,precision,recall,f1_score,support
"",0.7987220447284346,0.6944444444444444,0.7429420505200595,360.0
Action,0.26388557806912993,0.32829181494661924,0.2925862296815118,3372.0
Adventure,0.30238726790450926,0.05015398152221733,0.0860377358490566,2273.0
Animation,1.0,0.00331858407079646,0.006615214994487321,904.0
Comedy,0.3013698630136986,0.3992061241848597,0.34345651908769365,3527.0
Crime,1.0,0.009633911368015413,0.019083969465648856,1038.0
Documentary,0.0,0.0,0.0,519.0
Drama,0.28921568627450983,0.7034893915483079,0.40991060025542786,5703.0
Family,0.0,0.0,0.0,526.0
Fantasy,0.0,0.0,0.0,641.0
History,0.0,0.0,0.0,216.0
Horror,0.0,0.0,0.0,1112.0
Music,0.0,0.0,0.0,339.0
Mystery,0.0,0.0,0.0,258.0
Romance,0.0,0.0,0.0,518.0
Science Fiction,0.42748091603053434,0.06796116504854369,0.11727748691099477,824.0
TV Movie,0.0,0.0,0.0,54.0
Thriller,0.0,0.0,0.0,756.0
War,0.0,0.0,0.0,187.0
Western,0.0,0.0,0.0,446.0
accuracy,,,0.29525304373647815,23573.0
macro avg,0.2191530678010408,0.11282497085669019,0.100895490338244,23573.0
weighted avg,0.2914886185797436,0.29525304373647815,0.2172460415819881,23573.0
